Hour:,total number of Shipment:, Total Miles Driven: ,Truck 0's coordinates ,Truck 1's coordinates ,Truck 2's coordinates ,Truck 3's coordinates ,Truck 4's coordinates ,Truck 5's coordinates ,Truck 6's coordinates ,Truck 7's coordinates ,Truck 8's coordinates ,Truck 9's coordinates ,Truck 10's coordinates ,Truck 11's coordinates ,Truck 12's coordinates ,Truck 13's coordinates ,Truck 14's coordinates ,Truck 15's coordinates ,Truck 16's coordinates ,Truck 17's coordinates ,Truck 18's coordinates ,Truck 19's coordinates ,
339,1114,51374.80470692296,(210.09618372334148:117.78733734666854),(308.0034512536501:57.941328687949884),(304.8092230480897:197.59672585617977),(131.00442161390782:36.45168421957915),(361.027168504829:77.32668357848185),(254.24900495710517:52.61074257670562),(315.81394716240993:196.43291494806306),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
340,1121,51472.24941840067,(212.04301806000862:118.24541601411963),(308.0034512536501:57.941328687949884),(304.8092230480897:197.59672585617977),(131.00442161390782:36.45168421957915),(361.027168504829:77.32668357848185),(254.24900495710517:52.61074257670562),(315.81394716240993:196.43291494806306),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
341,1128,51483.56800770938,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(304.8092230480897:197.59672585617977),(131.00442161390782:36.45168421957915),(361.027168504829:77.32668357848185),(254.24900495710517:52.61074257670562),(315.81394716240993:196.43291494806306),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
342,1135,51568.69062080455,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(131.00442161390782:36.45168421957915),(361.027168504829:77.32668357848185),(254.24900495710517:52.61074257670562),(315.81394716240993:196.43291494806306),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
343,1142,51695.976094524485,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(361.027168504829:77.32668357848185),(254.24900495710517:52.61074257670562),(315.81394716240993:196.43291494806306),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
344,1149,51811.980028707076,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(254.24900495710517:52.61074257670562),(315.81394716240993:196.43291494806306),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
345,1156,51844.85908682909,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(315.81394716240993:196.43291494806306),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
346,1163,51914.41866983161,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(278.6852747335925:149.07946450615964),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
347,1170,52178.43151725521,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(312.05703646303976:51.78454768594097),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
348,1177,52254.87971136293,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(339.44811400838745:168.1795990771789),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
349,1184,52370.064738823305,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(122.21166086806956:119.37995997681911),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
350,1191,52713.41930080972,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(170.8653373469764:85.74621784728143),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
351,1198,52906.97611710458,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(289.8400432223403:95.87183766225584),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
352,1205,52952.00473805616,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(167.09796579221063:40.53061253474611),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
353,1212,53130.33419146716,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(231.3813909785044:218.78333546620797),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
354,1219,53319.29944053079,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(328.41522084262255:108.27818056083467),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
355,1226,53371.03813139158,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(226.1219605469886:51.20883525526628),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
356,1233,53632.84011869023,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(228.65047061568583:184.3436727149049),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
357,1240,53908.11745415723,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(59.85638571968044:171.19203353044924),(131.62859221290395:89.47485973954704),
358,1247,53944.68390551596,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(131.62859221290395:89.47485973954704),
359,1254,54000.7271980812,(212.04301806000862:118.24541601411963),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
360,1261,54095.418670036306,(213.98985239667576:118.70349468157072),(307.88600720974716:59.93787743429988),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
361,1268,54106.5711683853,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(306.7980008744479:197.80829796536682),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
362,1275,54188.88122490588,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(129.00468170884358:36.41943035014263),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
363,1282,54313.338639330854,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(359.38170782864245:78.46354731839254),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
364,1289,54427.01554070883,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(252.37350743565776:51.91611386505843),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
365,1296,54457.24224479982,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(319.7674339530124:197.04114368507882),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
366,1303,54521.21075316441,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(274.84323207086265:147.96649183005138),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
367,1310,54779.790131747155,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(308.0603915491009:51.94834460864338),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
368,1317,54850.5862164136,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(337.1252152818772:164.92319899328606),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
369,1324,54962.48616899092,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(125.98881738972071:120.69642821074964),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
370,1331,55300.49902499721,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(129.76597391137187:122.01289644468018),(167.3280042497397:87.61364242653327),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
371,1338,55489.05329685133,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(129.76597391137187:122.01289644468018),(163.79067115250302:89.48106700578512),(287.41886929424265:92.68782811297677),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
372,1345,55530.65786079693,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(129.76597391137187:122.01289644468018),(163.79067115250302:89.48106700578512),(284.997695366145:89.5038185636977),(161.10372848587008:40.26770738973118),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
373,1352,55700.51018251322,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(129.76597391137187:122.01289644468018),(163.79067115250302:89.48106700578512),(284.997695366145:89.5038185636977),(155.10949117952953:40.00480224471624),(237.3450022125341:218.12353167010255),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
374,1359,55881.04161168896,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(129.76597391137187:122.01289644468018),(163.79067115250302:89.48106700578512),(284.997695366145:89.5038185636977),(155.10949117952953:40.00480224471624),(243.30861344656375:217.46372787399713),(330.5572926568945:113.88277941735436),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
375,1366,55929.75095553843,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(129.76597391137187:122.01289644468018),(163.79067115250302:89.48106700578512),(284.997695366145:89.5038185636977),(155.10949117952953:40.00480224471624),(243.30861344656375:217.46372787399713),(332.6993644711664:119.48737827387404),(218.15245068373574:50.51104406908285),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
376,1373,56180.282353903,(213.98985239667576:118.70349468157072),(307.7685631658442:61.93442618064987),(308.7867787008061:198.01987007455386),(127.00494180377933:36.38717648070611),(357.7362471524559:79.60041105830324),(250.49800991421034:51.22148515341124),(323.7209207436149:197.6493724220946),(271.0011894081328:146.85351915394313),(304.0637466351621:52.11214153134579),(334.802316555367:161.66679890939324),(129.76597391137187:122.01289644468018),(163.79067115250302:89.48106700578512),(284.997695366145:89.5038185636977),(155.10949117952953:40.00480224471624),(243.30861344656375:217.46372787399713),(332.6993644711664:119.48737827387404),(210.18294082048288:49.81325288289942),(220.7227451285398:183.27074746100544),(52.730290762014576:167.55627079694625),(121.72439175483947:90.85573384187335),
